RK-02;R7KKO;2024-01-10;W
RK-03;UC6K;2024-04-20;W
RK-04;RG7K;2024-01-15;W
RK-08;RW7KW;2021-01-03;W
RK-09;R7KY;2024-03-23;W
RK-10;R7KDU;2020-10-18;W
RK-12;RM7K;2015-01-02;W
RK-13;R7KDW;2024-01-07;W
RK-16;RD7KW;2024-03-09;W
RK-17;RJ7K;2024-03-24;W
RK-20;RC7KH;2024-03-22;W
RK-21;R7KEA;2024-03-21;W
RK-25;RA6KR;2024-01-23;W
RK-27;R6KY;2024-01-23;W
RO-01;R6LCG;2015-04-07;W
RO-03;RC7LX;2020-12-31;W
RO-04;UC6N;2005-10-14;W
RO-05;RU6M;2024-01-13;W
RO-07;UB6LDB;2020-11-28;W
RO-08;RV6LLI;2023-11-22;W
RO-09;RX6LQH;2023-12-23;W
RO-10;RA6MQ;2015-03-21;W
RO-12;UA6LET;2024-09-08;W
RO-13;RT7N;2023-12-02;W
RO-14;R6NN;2024-01-05;W
RO-16;RN6MG;2024-01-23;W
RO-19;RV6LFE;2007-03-18;W
RO-22;RU6MO;2020-12-31;W
RO-23;R7NA;2024-01-16;W
RO-24;RL6LX;2024-01-07;W
RO-25;UI6L;2021-01-16;W
RO-27;RN6LLV;2020-11-20;W
RO-31;RN6LPC;2023-11-19;W
RO-32;RN6LBT;2024-01-27;W
RO-33;RZ6LY;2024-01-29;W
RO-35;R6NH;2023-11-15;W
RO-38;UA6LAD;2020-12-26;W
RO-41;R6NZ;2020-11-21;W
RO-44;RZ6LL;2013-10-09;W
RO-45;UE30DX;2020-11-15;W
RO-47;RA21NY;2021-01-04;W
RO-48;RG7M;2023-12-06;W
RO-49;RX9KT;2021-01-04;W
RO-51;R6LAQ;2024-01-29;W
RO-53;UA6NT;2020-11-28;W
RO-54;RV6BC;2005-04-16;W
RO-57;RV6BC;2005-04-16;W
RO-58;RU6L;2024-03-03;W
RO-62;RW6MMU;2020-12-30;W
RO-64;R6ML;2021-01-20;W
RO-66;R2020DX;2020-11-15;W
SA-01;UA4COP;2024-03-10;W
SA-02;RW4C;2013-09-17;W
